"( Bay_id , aisle_id , level_id )",Pallet_id,item name
"(48,20,6)",1,Product
"(50,14,9)",2,Product
"(2,5,8)",3,Product
"(5,12,8)",4,Product
"(49,21,7)",5,Product
"(17,12,3)",6,Product
"(29,6,2)",7,Product
"(3,1,8)",8,Product
"(5,9,4)",9,Product
"(12,9,2)",10,Product
"(10,16,10)",11,Product
"(6,13,2)",12,Product
"(9,17,8)",13,Product
"(17,11,3)",14,Product
"(33,12,6)",15,Product
"(22,8,3)",16,Product
"(47,5,7)",17,Product
"(26,9,1)",18,Product
"(8,20,10)",19,Product
"(8,1,6)",20,Product
"(43,1,4)",21,Product
"(22,6,2)",22,Product
"(50,1,1)",23,Product
"(13,9,8)",24,Product
"(7,1,10)",25,Product
"(49,14,5)",26,Product
"(32,11,1)",27,Product
"(27,6,4)",28,Product
"(38,21,1)",29,Product
"(25,21,4)",30,Product
"(14,20,8)",31,Product
"(16,8,3)",32,Product
"(45,12,4)",33,Product
"(26,13,2)",34,Product
"(49,6,2)",35,Product
"(48,23,9)",36,Product
"(42,21,6)",37,Product
"(17,19,4)",38,Product
"(51,5,7)",39,Product
"(22,21,5)",40,Product
"(21,13,4)",41,Product
"(28,12,7)",42,Product
"(39,17,4)",43,Product
"(50,8,4)",44,Product
"(14,12,9)",45,Product
"(2,1,8)",46,Product
"(19,20,3)",47,Product
"(33,1,2)",48,Product
"(17,20,10)",49,Product
"(31,1,9)",50,Product
"(49,5,9)",51,Product
"(54,7,1)",52,Product
"(39,13,6)",53,Product
"(20,16,2)",54,Product
"(8,2,9)",55,Product
"(3,16,1)",56,Product
"(22,13,10)",57,Product
"(31,6,4)",58,Product
"(46,24,9)",59,Product
"(27,15,1)",60,Product
"(8,1,2)",61,Product
"(38,11,2)",62,Product
"(29,22,4)",63,Product
"(17,3,9)",64,Product
"(56,8,4)",65,Product
"(18,13,8)",66,Product
"(49,5,7)",67,Product
"(35,5,6)",68,Product
"(25,5,9)",69,Product
"(40,2,3)",70,Product
"(11,4,7)",71,Product
"(40,9,8)",72,Product
"(25,16,8)",73,Product
"(33,18,4)",74,Product
"(5,23,8)",75,Product
"(46,16,2)",76,Product
"(34,1,8)",77,Product
"(29,1,5)",78,Product
"(37,21,10)",79,Product
"(22,1,10)",80,Product
"(11,5,8)",81,Product
"(27,16,5)",82,Product
"(51,24,3)",83,Product
"(21,5,10)",84,Product
"(23,24,5)",85,Product
"(47,16,10)",86,Product
"(2,21,5)",87,Product
"(25,10,5)",88,Product
"(55,12,3)",89,Product
"(28,17,1)",90,Product
"(37,24,2)",91,Product
"(51,11,5)",92,Product
"(20,13,6)",93,Product
"(32,4,4)",94,Product
"(8,9,6)",95,Product
"(45,5,10)",96,Product
"(27,23,4)",97,Product
"(22,2,10)",98,Product
"(48,4,9)",99,Product
"(56,12,1)",100,Product
"(39,1,8)",101,Product
"(7,10,2)",102,Product
"(26,5,1)",103,Product
"(23,24,6)",104,Product
"(19,5,3)",105,Product
"(8,13,7)",106,Product
"(5,24,9)",107,Product
"(28,5,5)",108,Product
"(35,15,2)",109,Product
"(12,4,9)",110,Product
"(48,12,10)",111,Product
"(43,5,5)",112,Product
"(1,15,6)",113,Product
"(42,13,3)",114,Product
"(9,16,1)",115,Product
"(15,13,4)",116,Product
"(53,2,5)",117,Product
"(50,10,4)",118,Product
"(26,14,5)",119,Product
"(29,7,8)",120,Product
"(47,17,6)",121,Product
"(14,13,8)",122,Product
"(42,21,1)",123,Product
"(21,1,4)",124,Product
"(18,12,5)",125,Product
"(27,5,10)",126,Product
"(18,15,6)",127,Product
"(22,12,2)",128,Product
"(46,16,7)",129,Product
"(30,20,1)",130,Product
"(54,21,8)",131,Product
"(10,9,3)",132,Product
"(4,16,8)",133,Product
"(14,4,6)",134,Product
"(7,24,1)",135,Product
"(24,24,7)",136,Product
"(2,8,9)",137,Product
"(3,24,10)",138,Product
"(23,12,4)",139,Product
"(53,12,9)",140,Product
"(37,23,4)",141,Product
"(44,21,9)",142,Product
"(27,1,8)",143,Product
"(27,23,5)",144,Product
"(17,20,4)",145,Product
"(39,1,1)",146,Product
"(8,4,1)",147,Product
"(29,9,10)",148,Product
"(1,21,7)",149,Product
"(4,21,8)",150,Product
"(51,12,6)",151,Product
"(7,20,8)",152,Product
"(55,1,9)",153,Product
"(12,9,1)",154,Product
"(8,20,8)",155,Product
"(51,3,3)",156,Product
"(44,1,1)",157,Product
"(15,21,8)",158,Product
"(46,21,4)",159,Product
"(48,14,9)",160,Product
"(55,21,2)",161,Product
"(30,12,3)",162,Product
"(42,14,3)",163,Product
"(35,16,9)",164,Product
"(39,12,3)",165,Product
"(31,20,7)",166,Product
"(24,13,1)",167,Product
"(11,1,9)",168,Product
"(27,9,9)",169,Product
"(37,1,6)",170,Product
"(51,22,2)",171,Product
"(20,4,10)",172,Product
"(3,1,5)",173,Product
"(22,17,9)",174,Product
"(47,24,5)",175,Product
"(15,2,9)",176,Product
"(46,16,6)",177,Product
"(11,21,9)",178,Product
"(10,2,4)",179,Product
"(13,8,1)",180,Product
"(24,11,5)",181,Product
"(44,11,6)",182,Product
"(49,5,3)",183,Product
"(44,24,1)",184,Product
"(41,3,5)",185,Product
"(30,12,5)",186,Product
"(39,5,9)",187,Product
"(29,4,1)",188,Product
"(30,23,1)",189,Product
"(13,22,3)",190,Product
"(22,18,9)",191,Product
"(15,7,4)",192,Product
"(36,3,9)",193,Product
"(45,6,7)",194,Product
"(23,18,4)",195,Product
"(54,16,7)",196,Product
"(50,8,9)",197,Product
"(1,22,4)",198,Product
"(15,4,10)",199,Product
"(14,10,6)",200,Product
"(47,16,2)",201,Product
"(55,16,8)",202,Product
"(43,21,5)",203,Product
"(7,6,2)",204,Product
"(56,21,5)",205,Product
"(48,12,9)",206,Product
"(13,12,5)",207,Product
"(14,4,5)",208,Product
"(51,6,3)",209,Product
"(10,10,6)",210,Product
"(38,16,10)",211,Product
"(5,9,2)",212,Product
"(24,13,4)",213,Product
"(1,12,7)",214,Product
"(15,14,3)",215,Product
"(54,5,10)",216,Product
"(56,8,7)",217,Product
"(41,5,6)",218,Product
"(37,21,5)",219,Product
"(28,10,8)",220,Product
"(48,16,2)",221,Product
"(17,13,8)",222,Product
"(12,16,10)",223,Product
"(42,20,7)",224,Product
"(6,8,5)",225,Product
"(24,19,3)",226,Product
"(19,22,10)",227,Product
"(2,6,8)",228,Product
"(47,12,10)",229,Product
"(17,24,8)",230,Product
"(18,24,3)",231,Product
"(34,24,9)",232,Product
"(19,13,7)",233,Product
"(10,17,8)",234,Product
"(9,22,6)",235,Product
"(44,9,9)",236,Product
"(3,14,10)",237,Product
"(41,10,6)",238,Product
"(46,14,7)",239,Product
"(2,4,2)",240,Product
"(55,1,4)",241,Product
"(36,4,8)",242,Product
"(43,1,8)",243,Product
"(16,20,9)",244,Product
"(27,23,3)",245,Product
"(29,22,7)",246,Product
"(53,9,8)",247,Product
"(36,21,1)",248,Product
"(37,7,7)",249,Product
"(22,18,2)",250,Product
"(46,15,7)",251,Product
"(21,24,4)",252,Product
"(20,3,7)",253,Product
"(56,9,1)",254,Product
"(4,7,2)",255,Product
"(12,16,2)",256,Product
"(43,7,10)",257,Product
"(51,12,3)",258,Product
"(55,1,8)",259,Product
"(54,18,10)",260,Product
"(33,3,3)",261,Product
"(25,12,2)",262,Product
"(46,12,2)",263,Product
"(47,17,8)",264,Product
"(48,6,8)",265,Product
"(23,13,5)",266,Product
"(29,20,8)",267,Product
"(28,9,2)",268,Product
"(30,13,1)",269,Product
"(11,22,9)",270,Product
"(39,13,10)",271,Product
"(7,22,1)",272,Product
"(33,21,9)",273,Product
"(36,22,7)",274,Product
"(22,13,6)",275,Product
"(47,8,6)",276,Product
"(19,5,5)",277,Product
"(51,8,4)",278,Product
"(54,20,10)",279,Product
"(12,7,2)",280,Product
"(46,24,3)",281,Product
"(12,9,8)",282,Product
"(2,4,9)",283,Product
"(12,18,2)",284,Product
"(55,3,7)",285,Product
"(31,4,6)",286,Product
"(44,2,9)",287,Product
"(40,17,8)",288,Product
"(46,4,1)",289,Product
"(32,24,9)",290,Product
"(39,4,8)",291,Product
"(56,10,10)",292,Product
"(41,14,2)",293,Product
"(6,1,4)",294,Product
"(29,21,7)",295,Product
"(46,12,9)",296,Product
"(48,18,7)",297,Product
"(46,23,7)",298,Product
"(43,6,3)",299,Product
"(18,4,6)",300,Product
"(16,23,8)",301,Product
"(29,21,2)",302,Product
"(41,20,9)",303,Product
"(38,20,1)",304,Product
"(29,17,9)",305,Product
"(39,1,2)",306,Product
"(52,20,8)",307,Product
"(42,4,10)",308,Product
"(14,5,4)",309,Product
"(29,24,8)",310,Product
"(16,13,7)",311,Product
"(21,23,4)",312,Product
"(43,5,6)",313,Product
"(1,12,2)",314,Product
"(33,1,3)",315,Product
"(19,4,2)",316,Product
"(46,16,3)",317,Product
"(27,15,5)",318,Product
"(10,7,1)",319,Product
"(51,5,5)",320,Product
"(3,9,3)",321,Product
"(30,4,6)",322,Product
"(20,2,3)",323,Product
"(41,8,7)",324,Product
"(50,10,9)",325,Product
"(52,1,6)",326,Product
"(27,4,3)",327,Product
"(33,16,10)",328,Product
"(37,5,2)",329,Product
"(15,5,1)",330,Product
"(20,18,9)",331,Product
"(46,17,8)",332,Product
"(8,22,7)",333,Product
"(44,9,1)",334,Product
"(27,12,10)",335,Product
"(53,7,1)",336,Product
"(52,12,4)",337,Product
"(30,10,8)",338,Product
"(33,12,7)",339,Product
"(33,4,6)",340,Product
"(15,6,3)",341,Product
"(31,5,3)",342,Product
"(45,17,9)",343,Product
"(9,24,8)",344,Product
"(34,2,8)",345,Product
"(49,5,2)",346,Product
"(40,5,4)",347,Product
"(52,5,10)",348,Product
"(9,1,4)",349,Product
"(16,11,1)",350,Product
"(38,16,2)",351,Product
"(55,8,10)",352,Product
"(30,9,1)",353,Product
"(29,9,5)",354,Product
"(39,12,9)",355,Product
"(36,8,3)",356,Product
"(37,8,2)",357,Product
"(26,15,1)",358,Product
"(22,17,7)",359,Product
"(7,5,8)",360,Product
"(23,19,6)",361,Product
"(56,17,3)",362,Product
"(55,1,5)",363,Product
"(39,5,3)",364,Product
"(1,8,4)",365,Product
"(12,12,8)",366,Product
"(8,21,9)",367,Product
"(50,2,10)",368,Product
"(45,13,9)",369,Product
"(17,4,3)",370,Product
"(23,3,3)",371,Product
"(32,21,10)",372,Product
"(38,5,8)",373,Product
"(1,19,1)",374,Product
"(13,10,7)",375,Product
"(35,13,8)",376,Product
"(52,16,4)",377,Product
"(27,5,4)",378,Product
"(12,22,9)",379,Product
"(48,2,10)",380,Product
"(27,5,1)",381,Product
"(38,17,8)",382,Product
"(51,20,2)",383,Product
"(54,17,5)",384,Product
"(50,7,8)",385,Product
"(15,12,3)",386,Product
"(11,14,10)",387,Product
"(45,20,8)",388,Product
"(6,23,6)",389,Product
"(18,13,6)",390,Product
"(22,24,6)",391,Product
"(4,24,1)",392,Product
"(35,1,7)",393,Product
"(26,24,8)",394,Product
"(46,5,10)",395,Product
"(2,23,10)",396,Product
"(48,13,8)",397,Product
"(29,2,6)",398,Product
"(15,20,5)",399,Product
"(15,2,2)",400,Product
"(7,13,7)",401,Product
"(31,7,3)",402,Product
"(36,8,7)",403,Product
"(32,4,3)",404,Product
"(45,4,8)",405,Product
"(43,1,3)",406,Product
"(52,8,4)",407,Product
"(2,17,2)",408,Product
"(36,13,10)",409,Product
"(5,5,4)",410,Product
"(24,24,10)",411,Product
"(11,20,1)",412,Product
"(26,9,9)",413,Product
"(8,16,4)",414,Product
"(36,5,5)",415,Product
"(24,14,9)",416,Product
"(7,1,8)",417,Product
"(46,1,10)",418,Product
"(32,1,9)",419,Product
"(9,20,7)",420,Product
"(13,20,4)",421,Product
"(3,8,1)",422,Product
"(25,19,2)",423,Product
"(12,21,6)",424,Product
"(54,1,6)",425,Product
"(5,7,7)",426,Product
"(32,21,1)",427,Product
"(29,21,9)",428,Product
"(31,9,10)",429,Product
"(6,12,10)",430,Product
"(42,17,3)",431,Product
"(19,19,7)",432,Product
"(49,1,2)",433,Product
"(42,17,10)",434,Product
"(51,6,4)",435,Product
"(49,17,6)",436,Product
"(7,7,9)",437,Product
"(37,5,4)",438,Product
"(53,21,10)",439,Product
"(40,22,7)",440,Product
"(36,5,7)",441,Product
"(21,17,2)",442,Product
"(9,4,7)",443,Product
"(27,5,5)",444,Product
"(39,7,6)",445,Product
"(51,19,3)",446,Product
"(30,5,4)",447,Product
"(19,21,2)",448,Product
"(56,7,7)",449,Product
"(22,8,9)",450,Product
"(25,16,2)",451,Product
"(51,1,6)",452,Product
"(54,19,2)",453,Product
"(19,16,4)",454,Product
"(7,22,8)",455,Product
"(51,10,6)",456,Product
"(9,15,1)",457,Product
"(9,7,10)",458,Product
"(16,7,10)",459,Product
"(34,1,6)",460,Product
"(29,14,3)",461,Product
"(16,3,2)",462,Product
"(16,23,10)",463,Product
"(33,21,1)",464,Product
