"( Bay_id , aisle_id , level_id )",Pallet_id
"(5,23,6)",1
"(2,8,3)",2
"(22,11,9)",3
"(14,14,1)",4
"(50,6,2)",5
"(2,11,8)",6
"(43,24,10)",7
"(23,24,9)",8
"(5,16,3)",9
"(13,5,8)",10
"(22,4,6)",11
"(2,4,5)",12
"(42,20,8)",13
"(6,7,8)",14
"(46,24,7)",15
"(30,15,10)",16
"(5,8,4)",17
"(5,11,9)",18
"(53,6,3)",19
"(42,13,5)",20
"(26,24,10)",21
"(30,8,7)",22
"(17,9,4)",23
"(5,1,1)",24
"(42,16,10)",25
"(53,15,8)",26
"(8,8,1)",27
"(5,4,6)",28
"(45,21,5)",29
"(17,18,9)",30
"(42,9,7)",31
"(17,2,1)",32
"(9,24,6)",33
"(18,23,4)",34
"(46,12,10)",35
"(8,4,3)",36
"(25,13,5)",37
"(29,17,4)",38
"(1,6,3)",39
"(37,19,3)",40
"(42,1,8)",41
"(41,23,2)",42
"(34,24,2)",43
"(54,7,6)",44
"(13,20,6)",45
"(21,22,5)",46
"(25,6,2)",47
"(33,3,10)",48
"(45,9,8)",49
"(25,9,7)",50
"(20,2,2)",51
"(32,24,8)",52
"(29,12,10)",53
"(9,12,9)",54
"(21,15,2)",55
"(41,15,3)",56
"(41,18,8)",57
"(53,21,1)",58
"(38,3,5)",59
"(32,17,5)",60
"(12,17,4)",61
"(50,9,3)",62
"(45,1,9)",63
"(25,1,8)",64
"(32,20,10)",65
"(24,23,2)",66
"(29,5,7)",67
"(41,11,5)",68
"(9,4,10)",69
"(28,6,3)",70
"(13,8,9)",71
"(48,9,9)",72
"(40,12,1)",73
"(12,12,10)",74
"(4,15,2)",75
"(24,15,3)",76
"(36,21,1)",77
"(48,2,6)",78
"(24,18,8)",79
"(21,3,5)",80
"(56,4,5)",81
"(15,17,5)",82
"(33,9,3)",83
"(28,1,9)",84
"(27,23,3)",85
"(32,5,8)",86
"(12,5,7)",87
"(40,7,7)",88
"(24,11,5)",89
"(43,12,2)",90
"(23,12,1)",91
"(45,24,6)",92
"(25,24,5)",93
"(52,22,10)",94
"(27,15,4)",95
"(7,15,3)",96
"(24,4,2)",97
"(32,1,10)",98
"(52,6,2)",99
"(19,21,1)",100
"(4,3,5)",101
"(8,7,4)",102
"(43,8,4)",103
"(16,9,3)",104
"(20,13,2)",105
"(15,5,8)",106
"(44,21,4)",107
"(49,3,9)",108
"(7,11,5)",109
"(37,22,4)",110
"(29,23,10)",111
"(16,18,8)",112
"(44,20,8)",113
"(36,2,1)",114
"(48,24,7)",115
"(28,24,6)",116
"(25,12,8)",117
"(8,2,10)",118
"(27,4,3)",119
"(7,4,2)",120
"(35,6,2)",121
"(44,13,5)",122
"(48,17,4)",123
"(28,17,3)",124
"(9,15,10)",125
"(56,19,3)",126
"(44,16,10)",127
"(48,20,9)",128
"(35,15,7)",129
"(10,8,1)",130
"(12,20,5)",131
"(47,21,5)",132
"(52,3,10)",133
"(25,4,9)",134
"(44,9,7)",135
"(39,2,2)",136
"(51,24,8)",137
"(31,24,7)",138
"(11,24,6)",139
"(55,11,10)",140
"(28,12,9)",141
"(48,12,10)",142
"(10,4,3)",143
"(40,18,7)",144
"(51,17,5)",145
"(31,17,4)",146
"(11,17,3)",147
"(44,1,8)",148
"(51,20,10)",149
"(43,23,2)",150
"(4,21,8)",151
"(31,20,9)",152
"(23,23,1)",153
"(6,13,3)",154
"(15,20,6)",155
"(30,21,5)",156
"(35,3,10)",157
"(47,9,8)",158
"(6,22,8)",159
"(2,2,1)",160
"(51,13,7)",161
"(14,24,7)",162
"(43,15,3)",163
"(23,15,2)",164
"(11,12,9)",165
"(15,16,8)",166
"(46,22,3)",167
"(47,2,5)",168
"(14,17,4)",169
"(40,6,10)",170
"(51,5,8)",171
"(31,5,7)",172
"(11,5,6)",173
"(34,12,7)",174
"(23,11,4)",175
"(6,1,6)",176
"(15,8,9)",177
"(46,18,5)",178
"(30,9,8)",179
"(7,14,6)",180
"(50,1,6)",181
"(51,1,10)",182
"(14,12,10)",183
"(46,11,2)",184
