"(Bay_id, Aisle_id, Level_id)",Occupancy,Pallet_id
"(1, 1, 1)",1,3634
"(1, 1, 2)",1,6362
"(1, 1, 3)",1,4027
"(1, 1, 4)",1,6743
"(1, 1, 5)",1,4423
"(1, 1, 6)",1,2081
"(1, 1, 7)",1,4813
"(1, 1, 8)",1,2471
"(1, 1, 9)",1,5227
"(1, 1, 10)",1,2864
"(1, 2, 1)",1,6958
"(1, 2, 2)",1,9597
"(1, 2, 3)",1,7335
"(1, 2, 4)",1,9977
"(1, 2, 5)",1,7713
"(1, 2, 6)",1,10363
"(1, 2, 7)",1,8091
"(1, 2, 8)",1,5824
"(1, 2, 9)",1,8466
"(1, 2, 10)",0,0
"(1, 3, 1)",1,9919
"(1, 3, 2)",1,7653
"(1, 3, 3)",1,10303
"(1, 3, 4)",1,8038
"(1, 3, 5)",1,5764
"(1, 3, 6)",1,8404
"(1, 3, 7)",1,6147
"(1, 3, 8)",0,0
"(1, 3, 9)",0,0
"(1, 3, 10)",0,0
"(1, 4, 1)",1,5761
"(1, 4, 2)",1,3406
"(1, 4, 3)",1,1027
"(1, 4, 4)",1,3798
"(1, 4, 5)",1,1431
"(1, 4, 6)",1,4187
"(1, 4, 7)",1,1845
"(1, 4, 8)",1,11528
"(1, 4, 9)",1,2246
"(1, 4, 10)",1,11912
"(1, 5, 1)",1,8989
"(1, 5, 2)",1,6734
"(1, 5, 3)",1,4412
"(1, 5, 4)",1,7129
"(1, 5, 5)",1,4804
"(1, 5, 6)",0,0
"(1, 5, 7)",1,5219
"(1, 5, 8)",1,7895
"(1, 5, 9)",1,5610
"(1, 5, 10)",1,3258
"(1, 6, 1)",1,11740
"(1, 6, 2)",1,2459
"(1, 6, 3)",0,0
"(1, 6, 4)",1,2853
"(1, 6, 5)",1,446
"(1, 6, 6)",0,0
"(1, 6, 7)",1,862
"(1, 6, 8)",1,10591
"(1, 6, 9)",0,0
"(1, 6, 10)",0,0
"(1, 7, 1)",1,2780
"(1, 7, 2)",1,375
"(1, 7, 3)",1,10118
"(1, 7, 4)",1,781
"(1, 7, 5)",1,10517
"(1, 7, 6)",1,1210
"(1, 7, 7)",1,10903
"(1, 7, 8)",1,1612
"(1, 7, 9)",1,11292
"(1, 7, 10)",1,8993
"(1, 8, 1)",1,6131
"(1, 8, 2)",1,3784
"(1, 8, 3)",1,6520
"(1, 8, 4)",1,4177
"(1, 8, 5)",1,1834
"(1, 8, 6)",1,4588
"(1, 8, 7)",1,2238
"(1, 8, 8)",1,4996
"(1, 8, 9)",1,2632
"(1, 8, 10)",1,216
"(1, 9, 1)",1,8821
"(1, 9, 2)",1,11515
"(1, 9, 3)",1,9210
"(1, 9, 4)",1,11904
"(1, 9, 5)",1,9592
"(1, 9, 6)",1,215
"(1, 9, 7)",1,9972
"(1, 9, 8)",1,7708
"(1, 9, 9)",1,10355
"(1, 9, 10)",1,8086
"(1, 10, 1)",0,0
"(1, 10, 2)",1,2843
"(1, 10, 3)",0,0
"(1, 10, 4)",1,3247
"(1, 10, 5)",1,853
"(1, 10, 6)",1,3640
"(1, 10, 7)",1,1275
"(1, 10, 8)",1,10962
"(1, 10, 9)",1,1672
"(1, 10, 10)",1,11365
"(1, 11, 1)",1,7642
"(1, 11, 2)",1,5367
"(1, 11, 3)",0,0
"(1, 11, 4)",0,0
"(1, 11, 5)",0,0
"(1, 11, 6)",1,6134
"(1, 11, 7)",1,3787
"(1, 11, 8)",1,6523
"(1, 11, 9)",1,4179
"(1, 11, 10)",1,1838
"(1, 12, 1)",1,10891
"(1, 12, 2)",1,8603
"(1, 12, 3)",1,6347
"(1, 12, 4)",1,8984
"(1, 12, 5)",1,6730
"(1, 12, 6)",1,9382
"(1, 12, 7)",1,7122
"(1, 12, 8)",1,9774
"(1, 12, 9)",1,7498
"(1, 12, 10)",1,5210
"(1, 13, 1)",1,1644
"(1, 13, 2)",1,4404
"(1, 13, 3)",1,2058
"(1, 13, 4)",1,4795
"(1, 13, 5)",1,2449
"(1, 13, 6)",1,5207
"(1, 13, 7)",1,2846
"(1, 13, 8)",1,441
"(1, 13, 9)",1,3249
"(1, 13, 10)",1,856
"(1, 14, 1)",1,5021
"(1, 14, 2)",0,0
"(1, 14, 3)",0,0
"(1, 14, 4)",1,8077
"(1, 14, 5)",1,5803
"(1, 14, 6)",1,8444
"(1, 14, 7)",1,6193
"(1, 14, 8)",1,3851
