"( Bay_id , aisle_id , level_id )",Pallet_id
"(2,8,3)",1
"(50,22,10)",2
"(2,11,8)",3
"(23,24,9)",4
"(5,16,3)",5
"(34,9,4)",6
"(13,5,8)",7
"(22,4,6)",8
"(2,4,5)",9
"(6,7,8)",10
"(42,20,8)",11
"(46,24,7)",12
"(5,8,4)",13
"(5,11,9)",14
"(53,6,3)",15
"(42,13,5)",16
"(26,24,10)",17
"(30,8,7)",18
"(54,19,3)",19
"(5,1,1)",20
"(42,16,10)",21
"(46,20,9)",22
"(5,4,6)",23
"(45,21,5)",24
"(38,22,5)",25
"(17,18,9)",26
"(26,17,7)",27
"(42,9,7)",28
"(29,24,7)",29
"(9,24,6)",30
"(8,4,3)",31
"(38,18,7)",32
"(25,13,5)",33
"(29,17,4)",34
"(1,6,3)",35
"(42,1,8)",36
"(34,24,2)",37
"(46,5,7)",38
"(13,20,6)",39
"(21,22,5)",40
"(45,9,8)",41
"(25,9,7)",42
"(20,2,2)",43
"(29,12,10)",44
"(21,15,2)",45
"(9,12,9)",46
"(41,18,8)",47
"(53,21,1)",48
"(32,17,5)",49
"(12,17,4)",50
"(50,9,3)",51
"(45,1,9)",52
"(25,1,8)",53
"(32,20,10)",54
"(37,7,6)",55
"(28,6,3)",56
"(13,8,9)",57
"(48,9,9)",58
"(40,12,1)",59
"(49,22,9)",60
"(51,14,4)",61
"(24,15,3)",62
"(8,19,1)",63
"(36,21,1)",64
"(41,3,6)",65
"(56,4,5)",66
"(15,17,5)",67
"(33,9,3)",68
"(28,1,9)",69
"(32,5,8)",70
"(12,5,7)",71
"(40,7,7)",72
"(43,12,2)",73
"(23,12,1)",74
"(45,24,6)",75
"(25,24,5)",76
"(52,22,10)",77
"(32,1,10)",78
"(24,4,2)",79
"(27,15,4)",80
"(52,6,2)",81
"(4,3,5)",82
"(19,21,1)",83
"(43,8,4)",84
"(20,13,2)",85
"(15,5,8)",86
"(44,21,4)",87
"(37,22,4)",88
"(44,20,8)",89
"(27,4,3)",90
"(7,4,2)",91
"(35,6,2)",92
"(44,13,5)",93
"(48,17,4)",94
"(28,17,3)",95
"(44,16,10)",96
"(35,15,7)",97
"(10,8,1)",98
"(12,20,5)",99
"(47,21,5)",100
"(25,4,9)",101
"(44,9,7)",102
"(31,24,7)",103
"(28,12,9)",104
"(48,12,10)",105
"(10,4,3)",106
"(40,18,7)",107
"(51,17,5)",108
"(31,17,4)",109
"(11,17,3)",110
"(44,1,8)",111
"(51,20,10)",112
"(31,20,9)",113
"(43,23,2)",114
"(15,20,6)",115
"(30,21,5)",116
"(47,9,8)",117
"(6,22,8)",118
"(2,2,1)",119
"(14,24,7)",120
"(3,10,10)",121
"(31,12,10)",122
"(11,12,9)",123
"(23,15,2)",124
"(15,16,8)",125
"(46,22,3)",126
"(51,5,8)",127
"(31,5,7)",128
"(34,12,7)",129
"(23,11,4)",130
"(6,1,6)",131
"(18,3,10)",132
"(15,8,9)",133
"(30,9,8)",134
"(50,1,6)",135
"(51,1,10)",136
"(14,12,10)",137
"(14,5,7)",138
"(38,16,3)",139
"(26,11,5)",140
"(10,14,7)",141
"(46,6,8)",142
"(26,4,2)",143
"(1,16,9)",144
"(29,11,2)",145
"(50,24,3)",146
"(13,14,4)",147
"(22,13,2)",148
"(1,9,6)",149
"(1,8,10)",150
"(54,10,9)",151
"(30,24,6)",152
"(41,9,1)",153
"(13,6,5)",154
"(50,19,9)",155
"(42,22,1)",156
"(13,9,10)",157
"(34,23,7)",158
"(53,24,4)",159
"(33,24,3)",160
"(50,12,6)",161
"(13,2,7)",162
"(49,16,7)",163
"(46,21,6)",164
"(30,12,9)",165
"(17,20,2)",166
"(45,22,2)",167
"(52,21,2)",168
"(49,9,4)",169
"(36,24,4)",170
"(49,8,8)",171
"(53,12,7)",172
"(33,12,6)",173
"(45,18,4)",174
"(49,1,5)",175
"(29,21,6)",176
"(53,5,4)",177
"(36,20,6)",178
"(49,4,10)",179
"(8,17,10)",180
"(20,20,3)",181
