"(Bay_id, Aisle_id, Level_id)",Occupancy,Pallet_id
"(1, 1, 1)",1,2852
"(1, 1, 2)",1,4899
"(1, 1, 3)",1,3152
"(1, 1, 4)",1,5200
"(1, 1, 5)",1,3445
"(1, 1, 6)",0,0
"(1, 1, 7)",1,3747
"(1, 1, 8)",1,1937
"(1, 1, 9)",1,4054
"(1, 1, 10)",0,0
"(1, 2, 1)",1,5369
"(1, 2, 2)",1,7432
"(1, 2, 3)",1,5650
"(1, 2, 4)",0,0
"(1, 2, 5)",1,5943
"(1, 2, 6)",0,0
"(1, 2, 7)",0,0
"(1, 2, 8)",1,4498
"(1, 2, 9)",0,0
"(1, 2, 10)",0,0
"(1, 3, 1)",1,7690
"(1, 3, 2)",0,0
"(1, 3, 3)",1,8009
"(1, 3, 4)",0,0
"(1, 3, 5)",1,4446
"(1, 3, 6)",1,6501
"(1, 3, 7)",0,0
"(1, 3, 8)",1,6808
"(1, 3, 9)",0,0
"(1, 3, 10)",1,3272
"(1, 4, 1)",1,4444
"(1, 4, 2)",1,2672
"(1, 4, 3)",1,813
"(1, 4, 4)",0,0
"(1, 4, 5)",1,1125
"(1, 4, 6)",1,3268
"(1, 4, 7)",1,1435
"(1, 4, 8)",1,8949
"(1, 4, 9)",1,1759
"(1, 4, 10)",1,9262
"(1, 5, 1)",1,6961
"(1, 5, 2)",1,5192
"(1, 5, 3)",1,3437
"(1, 5, 4)",1,5496
"(1, 5, 5)",1,3741
"(1, 5, 6)",1,5785
"(1, 5, 7)",1,4049
"(1, 5, 8)",1,6090
"(1, 5, 9)",0,0
"(1, 5, 10)",1,2560
"(1, 6, 1)",1,9122
"(1, 6, 2)",0,0
"(1, 6, 3)",1,42
"(1, 6, 4)",0,0
"(1, 6, 5)",1,366
"(1, 6, 6)",0,0
"(1, 6, 7)",1,686
"(1, 6, 8)",0,0
"(1, 6, 9)",0,0
"(1, 6, 10)",1,8541
"(1, 7, 1)",1,2176
"(1, 7, 2)",1,307
"(1, 7, 3)",1,7869
"(1, 7, 4)",0,0
"(1, 7, 5)",0,0
"(1, 7, 6)",0,0
"(1, 7, 7)",1,8481
"(1, 7, 8)",0,0
"(1, 7, 9)",0,0
"(1, 7, 10)",1,6964
"(1, 8, 1)",1,4725
"(1, 8, 2)",1,2972
"(1, 8, 3)",1,5016
"(1, 8, 4)",1,3259
"(1, 8, 5)",1,1426
"(1, 8, 6)",1,3570
"(1, 8, 7)",1,1752
"(1, 8, 8)",1,3890
"(1, 8, 9)",1,2062
"(1, 8, 10)",1,178
"(1, 9, 1)",1,6828
"(1, 9, 2)",1,8942
"(1, 9, 3)",1,7121
"(1, 9, 4)",1,9254
"(1, 9, 5)",1,7428
"(1, 9, 6)",1,177
"(1, 9, 7)",1,7744
"(1, 9, 8)",1,5940
"(1, 9, 9)",1,8047
"(1, 9, 10)",1,6238
"(1, 10, 1)",0,0
"(1, 10, 2)",1,2229
"(1, 10, 3)",1,358
"(1, 10, 4)",0,0
"(1, 10, 5)",1,678
"(1, 10, 6)",0,0
"(1, 10, 7)",1,1002
"(1, 10, 8)",0,0
"(1, 10, 9)",0,0
"(1, 10, 10)",0,0
"(1, 11, 1)",0,0
"(1, 11, 2)",1,4153
"(1, 11, 3)",0,0
"(1, 11, 4)",1,4435
"(1, 11, 5)",0,0
"(1, 11, 6)",0,0
"(1, 11, 7)",0,0
"(1, 11, 8)",0,0
"(1, 11, 9)",0,0
"(1, 11, 10)",1,1428
"(1, 12, 1)",1,8468
"(1, 12, 2)",1,6653
"(1, 12, 3)",1,4885
"(1, 12, 4)",1,6959
"(1, 12, 5)",1,5188
"(1, 12, 6)",0,0
"(1, 12, 7)",1,5491
"(1, 12, 8)",1,7573
"(1, 12, 9)",1,5780
"(1, 12, 10)",1,4043
"(1, 13, 1)",1,1277
"(1, 13, 2)",1,3432
"(1, 13, 3)",1,1612
"(1, 13, 4)",0,0
"(1, 13, 5)",0,0
"(1, 13, 6)",1,4040
"(1, 13, 7)",1,2231
"(1, 13, 8)",1,362
"(1, 13, 9)",1,2555
"(1, 13, 10)",1,682
"(1, 14, 1)",1,3908
"(1, 14, 2)",0,0
"(1, 14, 3)",0,0
"(1, 14, 4)",0,0
"(1, 14, 5)",0,0
"(1, 14, 6)",0,0
"(1, 14, 7)",0,0
"(1, 14, 8)",1,3022
"(1, 14, 9)",1,5058
"(1, 14, 10)",1,3313
"(1, 15, 1)",0,0
"(1, 15, 2)",0,0
"(1, 15, 3)",0,0
"(1, 15, 4)",0,0
"(1, 15, 5)",1,2969
"(1, 15, 6)",0,0
"(1, 15, 7)",0,0
"(1, 15, 8)",1,5330
"(1, 15, 9)",0,0
"(1, 15, 10)",0,0
"(1, 16, 1)",1,2968
"(1, 16, 2)",1,1113
"(1, 16, 3)",0,0
"(1, 16, 4)",1,1424
"(1, 16, 5)",1,8940
"(1, 16, 6)",1,1747
"(1, 16, 7)",0,0
"(1, 16, 8)",1,2056
"(1, 16, 9)",1,175
"(1, 16, 10)",1,7740
"(1, 17, 1)",1,5485
"(1, 17, 2)",1,3728
"(1, 17, 3)",1,1915
"(1, 17, 4)",1,4034
"(1, 17, 5)",1,2225
"(1, 17, 6)",1,4332
"(1, 17, 7)",1,2548
"(1, 17, 8)",1,4611
"(1, 17, 9)",1,2850
"(1, 17, 10)",1,995
"(1, 18, 1)",1,7585
"(1, 18, 2)",1,349
"(1, 18, 3)",1,7901
"(1, 18, 4)",0,0
"(1, 18, 5)",1,8207
"(1, 18, 6)",1,991
"(1, 18, 7)",1,8527
"(1, 18, 8)",0,0
"(1, 18, 9)",1,8825
"(1, 18, 10)",1,7011
"(1, 19, 1)",0,0
"(1, 19, 2)",1,8158
"(1, 19, 3)",0,0
"(1, 19, 4)",0,0
"(1, 19, 5)",0,0
"(1, 19, 6)",0,0
"(1, 19, 7)",0,0
"(1, 19, 8)",1,9078
"(1, 19, 9)",1,7257
"(1, 19, 10)",0,0
"(1, 20, 1)",1,6642
"(1, 20, 2)",1,4878
"(1, 20, 3)",1,3130
"(1, 20, 4)",0,0
"(1, 20, 5)",1,3429
"(1, 20, 6)",0,0
"(1, 20, 7)",1,3730
"(1, 20, 8)",1,1918
"(1, 20, 9)",1,4035
"(1, 20, 10)",1,2227
"(1, 21, 1)",1,9245
"(1, 21, 2)",1,7419
"(1, 21, 3)",1,5631
"(1, 21, 4)",1,7731
"(1, 21, 5)",1,5928
"(1, 21, 6)",1,8033
"(1, 21, 7)",1,6227
"(1, 21, 8)",0,0
"(1, 21, 9)",1,6521
"(1, 21, 10)",0,0
"(1, 22, 1)",1,2538
"(1, 22, 2)",1,665
"(1, 22, 3)",0,0
"(1, 22, 4)",1,983
"(1, 22, 5)",1,8520
"(1, 22, 6)",0,0
"(1, 22, 7)",0,0
"(1, 22, 8)",0,0
"(1, 22, 9)",0,0
"(1, 22, 10)",0,0
"(1, 23, 1)",1,4422
"(1, 23, 2)",0,0
"(1, 23, 3)",1,4711
"(1, 23, 4)",1,2960
"(1, 23, 5)",1,1107
"(1, 23, 6)",0,0
"(1, 23, 7)",1,1419
"(1, 23, 8)",1,3559
"(1, 23, 9)",1,1743
"(1, 23, 10)",0,0
"(1, 24, 1)",1,6948
"(1, 24, 2)",1,5179
"(1, 24, 3)",1,7248
"(1, 24, 4)",1,5481
"(1, 24, 5)",1,3721
"(1, 24, 6)",1,5767
"(1, 24, 7)",1,4028
"(1, 24, 8)",1,6068
"(1, 24, 9)",1,4324
"(1, 24, 10)",1,6364
"(2, 1, 1)",1,3527
"(2, 1, 2)",1,5575
"(2, 1, 3)",1,3842
"(2, 1, 4)",1,5868
"(2, 1, 5)",1,4132
"(2, 1, 6)",1,6174
"(2, 1, 7)",1,4421
"(2, 1, 8)",1,2645
"(2, 1, 9)",1,4710
"(2, 1, 10)",1,2958
"(2, 2, 1)",1,144
"(2, 2, 2)",1,2336
"(2, 2, 3)",1,472
"(2, 2, 4)",1,2643
"(2, 2, 5)",1,788
"(2, 2, 6)",0,0
"(2, 2, 7)",0,0
"(2, 2, 8)",1,8632
"(2, 2, 9)",1,1416
"(2, 2, 10)",0,0
"(2, 3, 1)",1,2825
"(2, 3, 2)",0,0
"(2, 3, 3)",0,0
"(2, 3, 4)",0,0
"(2, 3, 5)",1,3422
"(2, 3, 6)",1,1595
"(2, 3, 7)",0,0
"(2, 3, 8)",1,1906
"(2, 3, 9)",0,0
"(2, 3, 10)",1,2213
"(2, 4, 1)",1,8787
"(2, 4, 2)",1,1593
"(2, 4, 3)",1,9096
"(2, 4, 4)",1,7275
"(2, 4, 5)",1,12
"(2, 4, 6)",1,7581
"(2, 4, 7)",1,341
"(2, 4, 8)",1,7897
"(2, 4, 9)",0,0
"(2, 4, 10)",1,8202
"(2, 5, 1)",1,2068
"(2, 5, 2)",1,4179
"(2, 5, 3)",1,2390
"(2, 5, 4)",1,516
"(2, 5, 5)",1,2700
"(2, 5, 6)",1,837
"(2, 5, 7)",0,0
"(2, 5, 8)",0,0
"(2, 5, 9)",0,0
"(2, 5, 10)",1,1463
"(2, 6, 1)",1,461
"(2, 6, 2)",0,0
"(2, 6, 3)",0,0
"(2, 6, 4)",1,2951
"(2, 6, 5)",1,1098
"(2, 6, 6)",1,3246
"(2, 6, 7)",0,0
"(2, 6, 8)",0,0
"(2, 6, 9)",0,0
"(2, 6, 10)",0,0
"(2, 7, 1)",1,6500
"(2, 7, 2)",0,0
"(2, 7, 3)",0,0
"(2, 7, 4)",0,0
"(2, 7, 5)",0,0
"(2, 7, 6)",0,0
"(2, 7, 7)",0,0
"(2, 7, 8)",0,0
"(2, 7, 9)",1,7721
"(2, 7, 10)",1,5920
"(2, 8, 1)",1,9087
"(2, 8, 2)",1,1896
"(2, 8, 3)",1,2
"(2, 8, 4)",1,2204
"(2, 8, 5)",1,333
"(2, 8, 6)",0,0
"(2, 8, 7)",1,659
"(2, 8, 8)",0,0
"(2, 8, 9)",1,976
"(2, 8, 10)",1,8508
"(2, 9, 1)",1,5784
"(2, 9, 2)",1,7888
"(2, 9, 3)",1,6088
"(2, 9, 4)",1,4345
"(2, 9, 5)",0,0
"(2, 9, 6)",1,4623
"(2, 9, 7)",1,6689
"(2, 9, 8)",1,4915
"(2, 9, 9)",1,6988
"(2, 9, 10)",1,5217
"(2, 10, 1)",0,0
"(2, 10, 2)",1,6331
"(2, 10, 3)",0,0
"(2, 10, 4)",0,0
"(2, 10, 5)",0,0
"(2, 10, 6)",1,6936
"(2, 10, 7)",1,5166
"(2, 10, 8)",1,3416
"(2, 10, 9)",1,5469
"(2, 10, 10)",0,0
"(2, 11, 1)",1,953
"(2, 11, 2)",0,0
"(2, 11, 3)",1,1253
