"(Bay_id, Aisle_id, Level_id)",Occupancy,Pallet_id
"(1, 1, 1)",1,1
"(1, 1, 2)",1,25
"(1, 1, 3)",1,49
"(1, 1, 4)",1,73
"(1, 1, 5)",1,97
"(1, 1, 6)",1,121
"(1, 1, 7)",1,145
"(1, 1, 8)",1,169
"(1, 1, 9)",1,193
"(1, 1, 10)",1,217
"(1, 2, 1)",1,2
"(1, 2, 2)",1,26
"(1, 2, 3)",1,50
"(1, 2, 4)",1,74
"(1, 2, 5)",1,98
"(1, 2, 6)",1,122
"(1, 2, 7)",1,146
"(1, 2, 8)",1,170
"(1, 2, 9)",1,194
"(1, 2, 10)",1,218
"(1, 3, 1)",1,3
"(1, 3, 2)",1,27
"(1, 3, 3)",1,51
"(1, 3, 4)",1,75
"(1, 3, 5)",1,99
"(1, 3, 6)",1,123
"(1, 3, 7)",1,147
"(1, 3, 8)",1,171
"(1, 3, 9)",1,195
"(1, 3, 10)",1,219
"(1, 4, 1)",1,4
"(1, 4, 2)",1,28
"(1, 4, 3)",1,52
"(1, 4, 4)",1,76
"(1, 4, 5)",1,100
"(1, 4, 6)",1,124
"(1, 4, 7)",1,148
"(1, 4, 8)",1,172
"(1, 4, 9)",1,196
"(1, 4, 10)",1,220
"(1, 5, 1)",1,5
"(1, 5, 2)",1,29
"(1, 5, 3)",1,53
"(1, 5, 4)",1,77
"(1, 5, 5)",1,101
"(1, 5, 6)",1,125
"(1, 5, 7)",1,149
"(1, 5, 8)",1,173
"(1, 5, 9)",1,197
"(1, 5, 10)",1,221
"(1, 6, 1)",1,6
"(1, 6, 2)",1,30
"(1, 6, 3)",1,54
"(1, 6, 4)",1,78
"(1, 6, 5)",1,102
"(1, 6, 6)",1,126
"(1, 6, 7)",1,150
"(1, 6, 8)",1,174
"(1, 6, 9)",1,198
"(1, 6, 10)",1,222
"(1, 7, 1)",1,7
"(1, 7, 2)",1,31
"(1, 7, 3)",1,55
"(1, 7, 4)",1,79
"(1, 7, 5)",1,103
"(1, 7, 6)",1,127
"(1, 7, 7)",1,151
"(1, 7, 8)",1,175
"(1, 7, 9)",1,199
"(1, 7, 10)",1,223
"(1, 8, 1)",1,8
"(1, 8, 2)",1,32
"(1, 8, 3)",1,56
"(1, 8, 4)",1,80
"(1, 8, 5)",1,104
"(1, 8, 6)",1,128
"(1, 8, 7)",1,152
"(1, 8, 8)",1,176
"(1, 8, 9)",1,200
"(1, 8, 10)",1,224
"(1, 9, 1)",1,9
"(1, 9, 2)",1,33
"(1, 9, 3)",1,57
"(1, 9, 4)",1,81
"(1, 9, 5)",1,105
"(1, 9, 6)",1,129
"(1, 9, 7)",1,153
"(1, 9, 8)",1,177
"(1, 9, 9)",1,201
"(1, 9, 10)",1,225
"(1, 10, 1)",1,10
"(1, 10, 2)",1,34
"(1, 10, 3)",1,58
"(1, 10, 4)",1,82
"(1, 10, 5)",1,106
"(1, 10, 6)",1,130
"(1, 10, 7)",1,154
"(1, 10, 8)",1,178
"(1, 10, 9)",1,202
"(1, 10, 10)",1,226
"(1, 11, 1)",1,11
"(1, 11, 2)",1,35
"(1, 11, 3)",1,59
"(1, 11, 4)",1,83
"(1, 11, 5)",1,107
"(1, 11, 6)",1,131
"(1, 11, 7)",1,155
"(1, 11, 8)",1,179
"(1, 11, 9)",1,203
"(1, 11, 10)",1,227
"(1, 12, 1)",1,12
"(1, 12, 2)",1,36
"(1, 12, 3)",1,60
"(1, 12, 4)",1,84
"(1, 12, 5)",1,108
"(1, 12, 6)",1,132
"(1, 12, 7)",1,156
"(1, 12, 8)",1,180
"(1, 12, 9)",1,204
"(1, 12, 10)",1,228
"(1, 13, 1)",1,13
"(1, 13, 2)",1,37
"(1, 13, 3)",1,61
"(1, 13, 4)",1,85
"(1, 13, 5)",1,109
"(1, 13, 6)",1,133
"(1, 13, 7)",1,157
"(1, 13, 8)",1,181
"(1, 13, 9)",1,205
"(1, 13, 10)",1,229
"(1, 14, 1)",1,14
"(1, 14, 2)",1,38
"(1, 14, 3)",1,62
"(1, 14, 4)",1,86
"(1, 14, 5)",1,110
"(1, 14, 6)",1,134
"(1, 14, 7)",1,158
"(1, 14, 8)",1,182
"(1, 14, 9)",1,206
"(1, 14, 10)",1,230
"(1, 15, 1)",1,15
"(1, 15, 2)",1,39
"(1, 15, 3)",1,63
"(1, 15, 4)",1,87
"(1, 15, 5)",1,111
"(1, 15, 6)",1,135
"(1, 15, 7)",1,159
"(1, 15, 8)",1,183
"(1, 15, 9)",1,207
"(1, 15, 10)",1,231
"(1, 16, 1)",1,16
"(1, 16, 2)",1,40
"(1, 16, 3)",1,64
"(1, 16, 4)",1,88
"(1, 16, 5)",1,112
"(1, 16, 6)",1,136
"(1, 16, 7)",1,160
"(1, 16, 8)",1,184
"(1, 16, 9)",1,208
"(1, 16, 10)",1,232
"(1, 17, 1)",1,17
"(1, 17, 2)",1,41
"(1, 17, 3)",1,65
"(1, 17, 4)",1,89
"(1, 17, 5)",1,113
"(1, 17, 6)",1,137
"(1, 17, 7)",1,161
"(1, 17, 8)",1,185
"(1, 17, 9)",1,209
"(1, 17, 10)",1,233
"(1, 18, 1)",1,18
"(1, 18, 2)",1,42
"(1, 18, 3)",1,66
"(1, 18, 4)",1,90
"(1, 18, 5)",1,114
"(1, 18, 6)",1,138
"(1, 18, 7)",1,162
"(1, 18, 8)",1,186
"(1, 18, 9)",1,210
"(1, 18, 10)",1,234
"(1, 19, 1)",1,19
"(1, 19, 2)",1,43
"(1, 19, 3)",1,67
"(1, 19, 4)",1,91
"(1, 19, 5)",1,115
"(1, 19, 6)",1,139
"(1, 19, 7)",1,163
"(1, 19, 8)",1,187
"(1, 19, 9)",1,211
"(1, 19, 10)",1,235
"(1, 20, 1)",1,20
"(1, 20, 2)",1,44
"(1, 20, 3)",1,68
"(1, 20, 4)",1,92
"(1, 20, 5)",1,116
"(1, 20, 6)",1,140
"(1, 20, 7)",1,164
"(1, 20, 8)",1,188
"(1, 20, 9)",1,212
"(1, 20, 10)",1,236
"(1, 21, 1)",1,21
"(1, 21, 2)",1,45
"(1, 21, 3)",1,69
"(1, 21, 4)",1,93
"(1, 21, 5)",1,117
"(1, 21, 6)",1,141
"(1, 21, 7)",1,165
"(1, 21, 8)",1,189
"(1, 21, 9)",1,213
"(1, 21, 10)",1,237
"(1, 22, 1)",1,22
"(1, 22, 2)",1,46
"(1, 22, 3)",1,70
"(1, 22, 4)",1,94
"(1, 22, 5)",1,118
"(1, 22, 6)",1,142
"(1, 22, 7)",1,166
"(1, 22, 8)",1,190
"(1, 22, 9)",1,214
"(1, 22, 10)",1,238
"(1, 23, 1)",1,23
"(1, 23, 2)",1,47
"(1, 23, 3)",1,71
"(1, 23, 4)",1,95
"(1, 23, 5)",1,119
"(1, 23, 6)",1,143
"(1, 23, 7)",1,167
"(1, 23, 8)",1,191
"(1, 23, 9)",1,215
"(1, 23, 10)",1,239
"(1, 24, 1)",1,24
"(1, 24, 2)",1,48
"(1, 24, 3)",1,72
"(1, 24, 4)",1,96
"(1, 24, 5)",1,120
"(1, 24, 6)",1,144
"(1, 24, 7)",1,168
"(1, 24, 8)",1,192
"(1, 24, 9)",1,216
"(1, 24, 10)",1,240
"(2, 1, 1)",1,241
"(2, 1, 2)",1,265
"(2, 1, 3)",1,289
"(2, 1, 4)",1,313
"(2, 1, 5)",1,337
"(2, 1, 6)",1,361
"(2, 1, 7)",1,385
"(2, 1, 8)",1,409
"(2, 1, 9)",1,433
"(2, 1, 10)",1,457
"(2, 2, 1)",1,242
"(2, 2, 2)",1,266
"(2, 2, 3)",1,290
"(2, 2, 4)",1,314
"(2, 2, 5)",1,338
"(2, 2, 6)",1,362
"(2, 2, 7)",1,386
"(2, 2, 8)",1,410
"(2, 2, 9)",1,434
"(2, 2, 10)",1,458
"(2, 3, 1)",1,243
"(2, 3, 2)",1,267
"(2, 3, 3)",1,291
"(2, 3, 4)",1,315
"(2, 3, 5)",1,339
"(2, 3, 6)",1,363
"(2, 3, 7)",1,387
"(2, 3, 8)",1,411
"(2, 3, 9)",1,435
"(2, 3, 10)",1,459
"(2, 4, 1)",1,244
"(2, 4, 2)",1,268
"(2, 4, 3)",1,292
"(2, 4, 4)",1,316
"(2, 4, 5)",1,340
"(2, 4, 6)",1,364
"(2, 4, 7)",1,388
"(2, 4, 8)",1,412
"(2, 4, 9)",1,436
"(2, 4, 10)",1,460
"(2, 5, 1)",1,245
"(2, 5, 2)",1,269
"(2, 5, 3)",1,293
"(2, 5, 4)",1,317
"(2, 5, 5)",1,341
"(2, 5, 6)",1,365
"(2, 5, 7)",1,389
"(2, 5, 8)",1,413
"(2, 5, 9)",1,437
"(2, 5, 10)",1,461
"(2, 6, 1)",1,246
"(2, 6, 2)",1,270
"(2, 6, 3)",1,294
"(2, 6, 4)",1,318
"(2, 6, 5)",1,342
"(2, 6, 6)",1,366
"(2, 6, 7)",1,390
"(2, 6, 8)",1,414
"(2, 6, 9)",1,438
"(2, 6, 10)",1,462
"(2, 7, 1)",1,247
"(2, 7, 2)",1,271
"(2, 7, 3)",1,295
"(2, 7, 4)",1,319
"(2, 7, 5)",1,343
"(2, 7, 6)",1,367
"(2, 7, 7)",1,391
"(2, 7, 8)",1,415
"(2, 7, 9)",1,439
"(2, 7, 10)",1,463
"(2, 8, 1)",1,248
"(2, 8, 2)",1,272
"(2, 8, 3)",1,296
"(2, 8, 4)",1,320
"(2, 8, 5)",1,344
"(2, 8, 6)",1,368
"(2, 8, 7)",1,392
"(2, 8, 8)",1,416
"(2, 8, 9)",1,440
"(2, 8, 10)",1,464
"(2, 9, 1)",1,249
"(2, 9, 2)",1,273
"(2, 9, 3)",1,297
"(2, 9, 4)",1,321
"(2, 9, 5)",1,345
"(2, 9, 6)",1,369
"(2, 9, 7)",1,393
"(2, 9, 8)",1,417
"(2, 9, 9)",1,441
"(2, 9, 10)",1,465
"(2, 10, 1)",1,250
"(2, 10, 2)",1,274
"(2, 10, 3)",1,298
"(2, 10, 4)",1,322
"(2, 10, 5)",1,346
"(2, 10, 6)",1,370
"(2, 10, 7)",1,394
"(2, 10, 8)",1,418
"(2, 10, 9)",1,442
"(2, 10, 10)",1,466
"(2, 11, 1)",1,251
"(2, 11, 2)",1,275
"(2, 11, 3)",1,299
"(2, 11, 4)",1,323
"(2, 11, 5)",1,347
"(2, 11, 6)",1,371
"(2, 11, 7)",1,395
"(2, 11, 8)",1,419
"(2, 11, 9)",1,443
"(2, 11, 10)",1,467
"(2, 12, 1)",1,252
"(2, 12, 2)",1,276
"(2, 12, 3)",1,300
"(2, 12, 4)",1,324
"(2, 12, 5)",1,348
"(2, 12, 6)",1,372
"(2, 12, 7)",1,396
"(2, 12, 8)",1,420
"(2, 12, 9)",1,444
"(2, 12, 10)",1,468
"(2, 13, 1)",1,253
"(2, 13, 2)",1,277
"(2, 13, 3)",1,301
"(2, 13, 4)",1,325
"(2, 13, 5)",1,349
"(2, 13, 6)",1,373
"(2, 13, 7)",1,397
"(2, 13, 8)",1,421
"(2, 13, 9)",1,445
"(2, 13, 10)",1,469
"(2, 14, 1)",1,254
