"(Bay_id, Aisle_id, Level_id)",Occupancy,Pallet_id
"(1, 1, 1)",1,1
"(1, 1, 2)",1,57
"(1, 1, 3)",1,113
"(1, 1, 4)",1,169
"(1, 1, 5)",1,225
"(1, 1, 6)",1,281
"(1, 1, 7)",1,337
"(1, 1, 8)",1,393
"(1, 1, 9)",1,449
"(1, 1, 10)",1,505
"(1, 2, 1)",1,1121
"(1, 2, 2)",1,1177
"(1, 2, 3)",1,1233
"(1, 2, 4)",1,1289
"(1, 2, 5)",1,1345
"(1, 2, 6)",1,1401
"(1, 2, 7)",1,1457
"(1, 2, 8)",1,1513
"(1, 2, 9)",1,1569
"(1, 2, 10)",1,1625
"(1, 3, 1)",1,1681
"(1, 3, 2)",1,1737
"(1, 3, 3)",1,1793
"(1, 3, 4)",1,1849
"(1, 3, 5)",1,1905
"(1, 3, 6)",1,1961
"(1, 3, 7)",1,2017
"(1, 3, 8)",1,2073
"(1, 3, 9)",1,2129
"(1, 3, 10)",1,2185
"(1, 4, 1)",1,561
"(1, 4, 2)",1,617
"(1, 4, 3)",1,673
"(1, 4, 4)",1,729
"(1, 4, 5)",1,785
"(1, 4, 6)",1,841
"(1, 4, 7)",1,897
"(1, 4, 8)",1,953
"(1, 4, 9)",1,1009
"(1, 4, 10)",1,1065
"(1, 5, 1)",1,2241
"(1, 5, 2)",1,2297
"(1, 5, 3)",1,2353
"(1, 5, 4)",1,2409
"(1, 5, 5)",1,2465
"(1, 5, 6)",1,2521
"(1, 5, 7)",1,2577
"(1, 5, 8)",1,2633
"(1, 5, 9)",1,2689
"(1, 5, 10)",1,2745
"(1, 6, 1)",1,3361
"(1, 6, 2)",1,3417
"(1, 6, 3)",1,3473
"(1, 6, 4)",1,3529
"(1, 6, 5)",1,3585
"(1, 6, 6)",1,3641
"(1, 6, 7)",1,3697
"(1, 6, 8)",1,3753
"(1, 6, 9)",1,3809
"(1, 6, 10)",1,3865
"(1, 7, 1)",1,3921
"(1, 7, 2)",1,3977
"(1, 7, 3)",1,4033
"(1, 7, 4)",1,4089
"(1, 7, 5)",1,4145
"(1, 7, 6)",1,4201
"(1, 7, 7)",1,4257
"(1, 7, 8)",1,4313
"(1, 7, 9)",1,4369
"(1, 7, 10)",1,4425
"(1, 8, 1)",1,2801
"(1, 8, 2)",1,2857
"(1, 8, 3)",1,2913
"(1, 8, 4)",1,2969
"(1, 8, 5)",1,3025
"(1, 8, 6)",1,3081
"(1, 8, 7)",1,3137
"(1, 8, 8)",1,3193
"(1, 8, 9)",1,3249
"(1, 8, 10)",1,3305
"(1, 9, 1)",1,4481
"(1, 9, 2)",1,4537
"(1, 9, 3)",1,4593
"(1, 9, 4)",1,4649
"(1, 9, 5)",1,4705
"(1, 9, 6)",1,4761
"(1, 9, 7)",1,4817
"(1, 9, 8)",1,4873
"(1, 9, 9)",1,4929
"(1, 9, 10)",1,4985
"(1, 10, 1)",1,5601
"(1, 10, 2)",1,5657
"(1, 10, 3)",1,5713
"(1, 10, 4)",1,5769
"(1, 10, 5)",1,5825
"(1, 10, 6)",1,5881
"(1, 10, 7)",1,5937
"(1, 10, 8)",1,5993
"(1, 10, 9)",1,6049
"(1, 10, 10)",1,6105
"(1, 11, 1)",1,6161
"(1, 11, 2)",1,6217
"(1, 11, 3)",1,6273
"(1, 11, 4)",1,6329
"(1, 11, 5)",1,6385
"(1, 11, 6)",1,6441
"(1, 11, 7)",1,6497
"(1, 11, 8)",1,6553
"(1, 11, 9)",1,6609
"(1, 11, 10)",1,6665
"(1, 12, 1)",1,5041
"(1, 12, 2)",1,5097
"(1, 12, 3)",1,5153
"(1, 12, 4)",1,5209
"(1, 12, 5)",1,5265
