"( Bay_id , aisle_id , level_id )",Pallet_id
"(1,24,1)",1
"(2,24,1)",2
"(3,24,1)",3
"(4,24,1)",4
"(5,24,1)",5
"(6,24,1)",6
"(7,24,1)",7
"(8,24,1)",8
"(9,24,1)",9
"(10,24,1)",10
"(11,24,1)",11
"(12,24,1)",12
"(13,24,1)",13
"(14,24,1)",14
"(15,24,1)",15
"(16,24,1)",16
"(17,24,1)",17
"(18,24,1)",18
"(19,24,1)",19
"(20,24,1)",20
"(21,24,1)",21
"(22,24,1)",22
"(23,24,1)",23
"(24,24,1)",24
"(25,24,1)",25
"(26,24,1)",26
"(27,24,1)",27
"(28,24,1)",28
"(29,24,1)",29
"(30,24,1)",30
"(31,24,1)",31
"(32,24,1)",32
"(33,24,1)",33
"(34,24,1)",34
"(35,24,1)",35
"(36,24,1)",36
"(37,24,1)",37
"(38,24,1)",38
"(39,24,1)",39
"(40,24,1)",40
"(41,24,1)",41
"(42,24,1)",42
"(43,24,1)",43
"(44,24,1)",44
"(45,24,1)",45
"(46,24,1)",46
"(47,24,1)",47
"(48,24,1)",48
"(49,24,1)",49
"(50,24,1)",50
"(51,24,1)",51
"(52,24,1)",52
"(53,24,1)",53
"(54,24,1)",54
"(55,24,1)",55
"(56,24,1)",56
"(1,24,2)",57
"(2,24,2)",58
"(3,24,2)",59
"(4,24,2)",60
"(5,24,2)",61
"(6,24,2)",62
"(7,24,2)",63
"(8,24,2)",64
"(9,24,2)",65
"(10,24,2)",66
"(11,24,2)",67
"(12,24,2)",68
"(13,24,2)",69
"(14,24,2)",70
"(15,24,2)",71
"(16,24,2)",72
"(17,24,2)",73
"(18,24,2)",74
"(19,24,2)",75
"(20,24,2)",76
"(21,24,2)",77
"(22,24,2)",78
"(23,24,2)",79
"(24,24,2)",80
"(25,24,2)",81
"(26,24,2)",82
"(27,24,2)",83
"(28,24,2)",84
"(29,24,2)",85
"(30,24,2)",86
"(31,24,2)",87
"(32,24,2)",88
"(33,24,2)",89
"(34,24,2)",90
"(35,24,2)",91
"(36,24,2)",92
"(37,24,2)",93
"(38,24,2)",94
"(39,24,2)",95
"(40,24,2)",96
"(41,24,2)",97
"(42,24,2)",98
"(43,24,2)",99
"(44,24,2)",100
"(45,24,2)",101
"(46,24,2)",102
"(47,24,2)",103
"(48,24,2)",104
"(49,24,2)",105
"(50,24,2)",106
"(51,24,2)",107
"(52,24,2)",108
"(53,24,2)",109
"(54,24,2)",110
"(55,24,2)",111
"(56,24,2)",112
"(1,24,3)",113
"(2,24,3)",114
"(3,24,3)",115
"(4,24,3)",116
"(5,24,3)",117
"(6,24,3)",118
"(7,24,3)",119
"(8,24,3)",120
"(9,24,3)",121
"(10,24,3)",122
"(11,24,3)",123
"(12,24,3)",124
"(13,24,3)",125
"(14,24,3)",126
"(15,24,3)",127
"(16,24,3)",128
"(17,24,3)",129
"(18,24,3)",130
"(19,24,3)",131
"(20,24,3)",132
"(21,24,3)",133
"(22,24,3)",134
"(23,24,3)",135
"(24,24,3)",136
"(25,24,3)",137
"(26,24,3)",138
"(27,24,3)",139
"(28,24,3)",140
"(29,24,3)",141
"(30,24,3)",142
"(31,24,3)",143
"(32,24,3)",144
"(33,24,3)",145
"(34,24,3)",146
"(35,24,3)",147
"(36,24,3)",148
"(37,24,3)",149
"(38,24,3)",150
"(39,24,3)",151
"(40,24,3)",152
"(41,24,3)",153
"(42,24,3)",154
"(43,24,3)",155
"(44,24,3)",156
"(45,24,3)",157
"(46,24,3)",158
"(47,24,3)",159
"(48,24,3)",160
"(49,24,3)",161
"(50,24,3)",162
"(51,24,3)",163
"(52,24,3)",164
"(53,24,3)",165
"(54,24,3)",166
"(55,24,3)",167
"(56,24,3)",168
"(1,24,4)",169
"(2,24,4)",170
"(3,24,4)",171
"(4,24,4)",172
"(5,24,4)",173
"(6,24,4)",174
"(7,24,4)",175
"(8,24,4)",176
"(9,24,4)",177
"(10,24,4)",178
"(11,24,4)",179
"(12,24,4)",180
"(13,24,4)",181
"(14,24,4)",182
"(15,24,4)",183
"(16,24,4)",184
"(17,24,4)",185
"(18,24,4)",186
"(19,24,4)",187
"(20,24,4)",188
"(21,24,4)",189
"(22,24,4)",190
"(23,24,4)",191
"(24,24,4)",192
"(25,24,4)",193
"(26,24,4)",194
"(27,24,4)",195
"(28,24,4)",196
"(29,24,4)",197
"(30,24,4)",198
"(31,24,4)",199
"(32,24,4)",200
"(33,24,4)",201
"(34,24,4)",202
"(35,24,4)",203
"(36,24,4)",204
"(37,24,4)",205
"(38,24,4)",206
"(39,24,4)",207
"(40,24,4)",208
"(41,24,4)",209
"(42,24,4)",210
"(43,24,4)",211
"(44,24,4)",212
"(45,24,4)",213
"(46,24,4)",214
"(47,24,4)",215
"(48,24,4)",216
"(49,24,4)",217
"(50,24,4)",218
"(51,24,4)",219
"(52,24,4)",220
"(53,24,4)",221
"(54,24,4)",222
"(55,24,4)",223
"(56,24,4)",224
"(1,24,5)",225
"(2,24,5)",226
"(3,24,5)",227
"(4,24,5)",228
"(5,24,5)",229
"(6,24,5)",230
"(7,24,5)",231
"(8,24,5)",232
"(9,24,5)",233
"(10,24,5)",234
"(11,24,5)",235
"(12,24,5)",236
"(13,24,5)",237
"(14,24,5)",238
"(15,24,5)",239
"(16,24,5)",240
"(17,24,5)",241
"(18,24,5)",242
"(19,24,5)",243
"(20,24,5)",244
"(21,24,5)",245
"(22,24,5)",246
"(23,24,5)",247
"(24,24,5)",248
"(25,24,5)",249
"(26,24,5)",250
"(27,24,5)",251
"(28,24,5)",252
"(29,24,5)",253
"(30,24,5)",254
"(31,24,5)",255
"(32,24,5)",256
"(33,24,5)",257
"(34,24,5)",258
"(35,24,5)",259
"(36,24,5)",260
"(37,24,5)",261
"(38,24,5)",262
"(39,24,5)",263
"(40,24,5)",264
"(41,24,5)",265
"(42,24,5)",266
"(43,24,5)",267
"(44,24,5)",268
"(45,24,5)",269
"(46,24,5)",270
"(47,24,5)",271
"(48,24,5)",272
"(49,24,5)",273
"(50,24,5)",274
"(51,24,5)",275
"(52,24,5)",276
"(53,24,5)",277
"(54,24,5)",278
"(55,24,5)",279
"(56,24,5)",280
"(1,24,6)",281
"(2,24,6)",282
"(3,24,6)",283
"(4,24,6)",284
"(5,24,6)",285
"(6,24,6)",286
"(7,24,6)",287
"(8,24,6)",288
"(9,24,6)",289
"(10,24,6)",290
"(11,24,6)",291
"(12,24,6)",292
"(13,24,6)",293
"(14,24,6)",294
"(15,24,6)",295
"(16,24,6)",296
"(17,24,6)",297
"(18,24,6)",298
"(19,24,6)",299
"(20,24,6)",300
"(21,24,6)",301
"(22,24,6)",302
"(23,24,6)",303
"(24,24,6)",304
"(25,24,6)",305
"(26,24,6)",306
"(27,24,6)",307
"(28,24,6)",308
"(29,24,6)",309
"(30,24,6)",310
"(31,24,6)",311
"(32,24,6)",312
