"(Bay_id, Aisle_id, Level_id)",Occupancy,Pallet_id
"(1, 1, 1)",1,8396
"(1, 1, 2)",1,8452
"(1, 1, 3)",1,8508
"(1, 1, 4)",1,8564
"(1, 1, 5)",1,8620
"(1, 1, 6)",1,8676
"(1, 1, 7)",1,8732
"(1, 1, 8)",1,8788
"(1, 1, 9)",1,8844
"(1, 1, 10)",1,8900
"(1, 2, 1)",0,0
"(1, 2, 2)",0,0
"(1, 2, 3)",0,0
"(1, 2, 4)",0,0
"(1, 2, 5)",0,0
"(1, 2, 6)",0,0
"(1, 2, 7)",0,0
"(1, 2, 8)",0,0
"(1, 2, 9)",0,0
"(1, 2, 10)",0,0
"(1, 3, 1)",1,8956
"(1, 3, 2)",1,9012
"(1, 3, 3)",1,9068
"(1, 3, 4)",1,9124
"(1, 3, 5)",1,9180
"(1, 3, 6)",1,9236
"(1, 3, 7)",1,9292
"(1, 3, 8)",1,9348
"(1, 3, 9)",0,0
"(1, 3, 10)",0,0
"(1, 4, 1)",1,7836
"(1, 4, 2)",1,7892
"(1, 4, 3)",1,7948
"(1, 4, 4)",1,8004
"(1, 4, 5)",1,8060
"(1, 4, 6)",1,8116
"(1, 4, 7)",1,8172
"(1, 4, 8)",1,8228
"(1, 4, 9)",1,8284
"(1, 4, 10)",1,8340
"(1, 5, 1)",1,6829
"(1, 5, 2)",1,6885
"(1, 5, 3)",1,6941
"(1, 5, 4)",1,6997
"(1, 5, 5)",1,7053
"(1, 5, 6)",1,7109
"(1, 5, 7)",1,7165
"(1, 5, 8)",1,7221
"(1, 5, 9)",1,7277
"(1, 5, 10)",1,7333
"(1, 6, 1)",0,0
"(1, 6, 2)",0,0
"(1, 6, 3)",0,0
"(1, 6, 4)",0,0
"(1, 6, 5)",0,0
"(1, 6, 6)",0,0
"(1, 6, 7)",0,0
"(1, 6, 8)",0,0
"(1, 6, 9)",0,0
"(1, 6, 10)",0,0
"(1, 7, 1)",1,7389
"(1, 7, 2)",1,7445
"(1, 7, 3)",1,7501
"(1, 7, 4)",1,7557
"(1, 7, 5)",1,7613
"(1, 7, 6)",1,7669
"(1, 7, 7)",1,7725
"(1, 7, 8)",1,7781
"(1, 7, 9)",0,0
"(1, 7, 10)",0,0
"(1, 8, 1)",1,6269
"(1, 8, 2)",1,6325
"(1, 8, 3)",1,6381
"(1, 8, 4)",1,6437
"(1, 8, 5)",1,6493
"(1, 8, 6)",1,6549
"(1, 8, 7)",1,6605
"(1, 8, 8)",1,6661
"(1, 8, 9)",1,6717
"(1, 8, 10)",1,6773
"(1, 9, 1)",1,5262
"(1, 9, 2)",1,5318
"(1, 9, 3)",1,5374
"(1, 9, 4)",1,5430
"(1, 9, 5)",1,5486
"(1, 9, 6)",1,5542
"(1, 9, 7)",1,5598
"(1, 9, 8)",1,5654
"(1, 9, 9)",1,5710
"(1, 9, 10)",1,5766
"(1, 10, 1)",0,0
"(1, 10, 2)",0,0
"(1, 10, 3)",0,0
"(1, 10, 4)",0,0
"(1, 10, 5)",0,0
"(1, 10, 6)",0,0
"(1, 10, 7)",0,0
"(1, 10, 8)",0,0
"(1, 10, 9)",0,0
"(1, 10, 10)",0,0
"(1, 11, 1)",1,5822
"(1, 11, 2)",1,5878
"(1, 11, 3)",1,5934
"(1, 11, 4)",1,5990
"(1, 11, 5)",1,6046
"(1, 11, 6)",1,6102
"(1, 11, 7)",1,6158
"(1, 11, 8)",1,6214
"(1, 11, 9)",0,0
"(1, 11, 10)",0,0
"(1, 12, 1)",1,4702
"(1, 12, 2)",1,4758
"(1, 12, 3)",1,4814
"(1, 12, 4)",1,4870
"(1, 12, 5)",1,4926
"(1, 12, 6)",1,4982
"(1, 12, 7)",1,5038
"(1, 12, 8)",1,5094
"(1, 12, 9)",1,5150
"(1, 12, 10)",1,5206
"(1, 13, 1)",1,3695
"(1, 13, 2)",1,3751
"(1, 13, 3)",1,3807
"(1, 13, 4)",1,3863
"(1, 13, 5)",1,3919
"(1, 13, 6)",1,3975
"(1, 13, 7)",1,4031
"(1, 13, 8)",1,4087
"(1, 13, 9)",1,4143
"(1, 13, 10)",1,4199
"(1, 14, 1)",0,0
"(1, 14, 2)",0,0
"(1, 14, 3)",0,0
"(1, 14, 4)",0,0
"(1, 14, 5)",0,0
"(1, 14, 6)",0,0
"(1, 14, 7)",0,0
"(1, 14, 8)",0,0
"(1, 14, 9)",0,0
"(1, 14, 10)",0,0
"(1, 15, 1)",1,4255
"(1, 15, 2)",1,4311
"(1, 15, 3)",1,4367
"(1, 15, 4)",1,4423
"(1, 15, 5)",1,4479
"(1, 15, 6)",1,4535
"(1, 15, 7)",1,4591
"(1, 15, 8)",1,4647
"(1, 15, 9)",0,0
"(1, 15, 10)",0,0
"(1, 16, 1)",1,3135
"(1, 16, 2)",1,3191
"(1, 16, 3)",1,3247
"(1, 16, 4)",1,3303
"(1, 16, 5)",1,3359
"(1, 16, 6)",1,3415
"(1, 16, 7)",1,3471
"(1, 16, 8)",1,3527
"(1, 16, 9)",1,3583
"(1, 16, 10)",1,3639
"(1, 17, 1)",1,2128
"(1, 17, 2)",1,2184
"(1, 17, 3)",1,2240
"(1, 17, 4)",1,2296
"(1, 17, 5)",1,2352
"(1, 17, 6)",1,2408
"(1, 17, 7)",1,2464
"(1, 17, 8)",1,2520
"(1, 17, 9)",1,2576
"(1, 17, 10)",1,2632
"(1, 18, 1)",0,0
"(1, 18, 2)",0,0
"(1, 18, 3)",0,0
"(1, 18, 4)",0,0
"(1, 18, 5)",0,0
"(1, 18, 6)",0,0
"(1, 18, 7)",0,0
"(1, 18, 8)",0,0
"(1, 18, 9)",0,0
"(1, 18, 10)",0,0
"(1, 19, 1)",1,2688
"(1, 19, 2)",1,2744
"(1, 19, 3)",1,2800
"(1, 19, 4)",1,2856
"(1, 19, 5)",1,2912
"(1, 19, 6)",1,2968
"(1, 19, 7)",1,3024
"(1, 19, 8)",1,3080
"(1, 19, 9)",0,0
"(1, 19, 10)",0,0
"(1, 20, 1)",1,1568
"(1, 20, 2)",1,1624
"(1, 20, 3)",1,1680
"(1, 20, 4)",1,1736
"(1, 20, 5)",1,1792
"(1, 20, 6)",1,1848
"(1, 20, 7)",1,1904
"(1, 20, 8)",1,1960
"(1, 20, 9)",1,2016
"(1, 20, 10)",1,2072
"(1, 21, 1)",1,561
"(1, 21, 2)",1,617
"(1, 21, 3)",1,673
"(1, 21, 4)",1,729
"(1, 21, 5)",1,785
"(1, 21, 6)",1,841
"(1, 21, 7)",1,897
"(1, 21, 8)",1,953
"(1, 21, 9)",1,1009
"(1, 21, 10)",1,1065
"(1, 22, 1)",0,0
"(1, 22, 2)",0,0
"(1, 22, 3)",0,0
"(1, 22, 4)",0,0
"(1, 22, 5)",0,0
"(1, 22, 6)",0,0
"(1, 22, 7)",0,0
"(1, 22, 8)",0,0
"(1, 22, 9)",0,0
"(1, 22, 10)",0,0
"(1, 23, 1)",1,1121
"(1, 23, 2)",1,1177
"(1, 23, 3)",1,1233
"(1, 23, 4)",1,1289
"(1, 23, 5)",1,1345
"(1, 23, 6)",1,1401
"(1, 23, 7)",1,1457
"(1, 23, 8)",1,1513
"(1, 23, 9)",0,0
"(1, 23, 10)",0,0
"(1, 24, 1)",1,1
"(1, 24, 2)",1,57
"(1, 24, 3)",1,113
"(1, 24, 4)",1,169
"(1, 24, 5)",1,225
"(1, 24, 6)",1,281
"(1, 24, 7)",1,337
"(1, 24, 8)",1,393
"(1, 24, 9)",1,449
"(1, 24, 10)",1,505
"(2, 1, 1)",1,8397
"(2, 1, 2)",1,8453
"(2, 1, 3)",1,8509
"(2, 1, 4)",1,8565
"(2, 1, 5)",1,8621
"(2, 1, 6)",1,8677
"(2, 1, 7)",1,8733
"(2, 1, 8)",1,8789
"(2, 1, 9)",1,8845
"(2, 1, 10)",1,8901
"(2, 2, 1)",0,0
"(2, 2, 2)",0,0
"(2, 2, 3)",0,0
"(2, 2, 4)",0,0
"(2, 2, 5)",0,0
"(2, 2, 6)",0,0
"(2, 2, 7)",0,0
"(2, 2, 8)",0,0
"(2, 2, 9)",0,0
"(2, 2, 10)",0,0
"(2, 3, 1)",1,8957
"(2, 3, 2)",1,9013
"(2, 3, 3)",1,9069
"(2, 3, 4)",1,9125
"(2, 3, 5)",1,9181
"(2, 3, 6)",1,9237
"(2, 3, 7)",1,9293
"(2, 3, 8)",1,9349
"(2, 3, 9)",0,0
"(2, 3, 10)",0,0
"(2, 4, 1)",1,7837
"(2, 4, 2)",1,7893
"(2, 4, 3)",1,7949
"(2, 4, 4)",1,8005
"(2, 4, 5)",1,8061
"(2, 4, 6)",1,8117
"(2, 4, 7)",1,8173
"(2, 4, 8)",1,8229
"(2, 4, 9)",1,8285
"(2, 4, 10)",1,8341
"(2, 5, 1)",1,6830
"(2, 5, 2)",1,6886
"(2, 5, 3)",1,6942
"(2, 5, 4)",1,6998
"(2, 5, 5)",1,7054
"(2, 5, 6)",1,7110
"(2, 5, 7)",1,7166
"(2, 5, 8)",1,7222
"(2, 5, 9)",1,7278
"(2, 5, 10)",1,7334
"(2, 6, 1)",0,0
"(2, 6, 2)",0,0
"(2, 6, 3)",0,0
"(2, 6, 4)",0,0
"(2, 6, 5)",0,0
"(2, 6, 6)",0,0
"(2, 6, 7)",0,0
"(2, 6, 8)",0,0
"(2, 6, 9)",0,0
"(2, 6, 10)",0,0
"(2, 7, 1)",1,7390
"(2, 7, 2)",1,7446
"(2, 7, 3)",1,7502
"(2, 7, 4)",1,7558
"(2, 7, 5)",1,7614
"(2, 7, 6)",1,7670
"(2, 7, 7)",1,7726
"(2, 7, 8)",1,7782
"(2, 7, 9)",0,0
"(2, 7, 10)",0,0
"(2, 8, 1)",1,6270
"(2, 8, 2)",1,6326
"(2, 8, 3)",1,6382
"(2, 8, 4)",1,6438
"(2, 8, 5)",1,6494
"(2, 8, 6)",1,6550
"(2, 8, 7)",1,6606
"(2, 8, 8)",1,6662
"(2, 8, 9)",1,6718
"(2, 8, 10)",1,6774
"(2, 9, 1)",1,5263
"(2, 9, 2)",1,5319
"(2, 9, 3)",1,5375
"(2, 9, 4)",1,5431
"(2, 9, 5)",1,5487
"(2, 9, 6)",1,5543
"(2, 9, 7)",1,5599
"(2, 9, 8)",1,5655
"(2, 9, 9)",1,5711
"(2, 9, 10)",1,5767
"(2, 10, 1)",0,0
"(2, 10, 2)",0,0
"(2, 10, 3)",0,0
"(2, 10, 4)",0,0
"(2, 10, 5)",0,0
"(2, 10, 6)",0,0
"(2, 10, 7)",0,0
"(2, 10, 8)",0,0
"(2, 10, 9)",0,0
"(2, 10, 10)",0,0
"(2, 11, 1)",1,5823
"(2, 11, 2)",1,5879
"(2, 11, 3)",1,5935
"(2, 11, 4)",1,5991
"(2, 11, 5)",1,6047
"(2, 11, 6)",1,6103
